Date,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
2018-09-30,0.08800436073286888,0.04185418172262012,0.004193811804936498,0.09979762701845196,0.053927241403313175,0.022347741253753828,0.1445593710148505,0.07563450806513261,0.002377007715872459,0.007543372633460388,-0.008075807371139221
2018-12-31,-0.17360458645186982,-0.13112021093371284,-0.23571326546512228,-0.17339790569455282,-0.049865532308365434,0.013697895036467012,-0.08666698864140521,-0.15198688734308796,-0.1222794428028704,-0.038181773737895885,-0.15483749638141286
2019-03-31,0.19777652758768371,0.08465481266442887,0.1618500915319172,0.171639711370988,0.11109325003312742,0.10733134320113602,0.06449649276417402,0.15398999946571634,0.10340987545073488,0.1749826636604912,0.1348962682574366
2019-06-30,0.05831045631587939,0.07900118349134133,-0.027553305245071713,0.036388451176019965,0.04284200483299583,0.03337906092161891,0.014046530649023836,0.05052925903734784,0.06039397396881596,0.023115975391574617,0.054935904073104114
2019-09-30,0.0351009441948642,0.019522196469959008,-0.06233329761978601,0.007945083842764822,0.06398611165792079,0.09403844567943698,-0.02307178775595764,0.015831316972001463,-0.0001826804334641441,0.07699556038778677,0.00848254000075177
2019-12-31,0.14197036289961318,0.1050366658936861,0.0444944261690412,0.054641853732714685,0.03374465003427152,0.005903419975658242,0.13751822093687682,0.04259391588403427,0.06111594287635391,-0.006424493275454024,0.0853605506410895
2020-03-31,-0.11866847783448886,-0.317801989122096,-0.5051444692876815,-0.2700672614044962,-0.1301855532336308,-0.13394549405720357,-0.1261297280451399,-0.21423804045398542,-0.26180148875683806,-0.19235252446283368,-0.17275556089752764
2020-06-30,0.30368876381204046,0.11842543191697508,0.3191334227938041,0.16941811927049666,0.08493222627429686,0.026930633727764386,0.13446860827148988,0.30512075528907956,0.25794766171150263,0.1316221694157116,0.224007785959903
2020-09-30,0.1193753231171415,0.04590911960177824,-0.19568221375482175,0.12485377871921455,0.09965826292080449,0.06132040574754205,0.058222669862653786,0.15335041293381924,0.13471822524179666,0.019251138732339967,0.10151093491806584
2020-12-31,0.11670079735087802,0.23130776658849506,0.2823727661192159,0.15511567056808073,0.06098384243541144,0.06478302710636341,0.07996286705428268,0.09588162251655619,0.14318840295514823,0.05010316337382115,0.13789458199197413
2021-03-31,0.023597899287536972,0.16009859115480474,0.3081608802234763,0.11527561171735057,0.018291030970128963,0.0289996072041665,0.03265531406648692,0.047010241786741735,0.09315539622026558,0.09091276298630113,0.0883963200144311
2021-06-30,0.11377514847031733,0.08182838793790315,0.10928052051624548,0.0432787007870743,0.03088360496229625,-0.005036661594659986,0.08308288135147679,0.06404251865301491,0.04910806520368949,0.1299344628225947,0.10632397037110697
2021-09-30,0.013073684931037999,0.027249446251527365,-0.0213463083477875,-0.04139472819430201,-0.010049050693582084,0.01793247258885855,0.014286985575484135,0.00641319026551157,-0.034735266366445305,0.008306903694687895,-0.008960005193482057
2021-12-31,0.16658221006047103,0.04538690072073748,0.07935947203410576,0.08548254229769969,0.12778059172302836,0.12942137194925118,0.11106679960119648,0.1410276564447488,0.15114878187671188,0.17568897637795278,-0.028304655800319156
2022-03-31,-0.08418857870960272,-0.014908545851766708,0.39047739478421284,-0.023513536791938128,-0.011423529194197424,0.047184473819190886,-0.024637473079684225,-0.09371509548154089,-0.023518115320202537,-0.0620039173254775,-0.11235638964008932
2022-06-30,-0.1980723988768308,-0.17490401046391424,-0.054004643374899075,-0.14815359284958252,-0.041744500832458065,-0.05061750434119361,-0.059918450260546985,-0.25514287110382383,-0.1592800600103157,-0.14758190984391617,-0.20905196650751934
2022-09-30,-0.0632787609223684,-0.029669237382663805,0.0181649562946824,-0.04692874975551942,-0.06950477239609842,-0.05956177156177145,-0.05180580456755424,0.03831828154497652,-0.07072517868830275,-0.11076319779530508,-0.11569462012168663
2022-12-31,0.0476511197171241,0.12648221343873534,0.2145237434046099,0.1855383872525349,0.11718867076277517,0.08498079884726972,0.12170753860127159,-0.09329589329589327,0.14218497279811793,0.025548458761455173,0.0020881186051366907
2023-03-31,0.2135165541626487,-0.05994152046783641,-0.05304675888876187,0.030241319621219898,0.002146210596914777,-0.032788607980505535,-0.04703717335296276,0.15778878909879213,0.03836251287332626,0.012185215272136452,0.20795999166493018
2023-06-30,0.15131448248460377,0.04852255054432364,-0.020041047929494127,0.06068392963036162,-0.007227948065854584,-0.02546801853651015,0.025258767186775666,0.1355490169854221,0.027398958591619227,0.008293204922418251,0.12264964636881137
2023-09-30,-0.05711492005061547,-0.016018985464253954,0.11358876432179366,-0.055348490495713776,-0.07226641499258457,-0.09218981510655244,-0.03006102614329831,-0.05199929332783704,-0.05212984192108128,-0.09604669673653488,0.007529194837123443
2023-12-31,0.17415970231196232,0.13355441664154344,-0.07246376811594202,0.12438350759518646,0.04679552390640884,0.08479267266005852,0.05934441510020183,0.1107591005093802,0.08898790579248894,0.17581449955972994,0.10812871740125063
2024-03-31,0.08203449709060684,0.12021276595744679,0.12607347328244267,0.1050092113343275,0.06011384145494936,0.04519090833020223,0.08322334653174956,0.028410044180974037,0.08592471358428799,-0.013230154767848279,0.12386457473162671
2024-06-30,0.08623421520142105,-0.023979107312440573,-0.034530240440631244,-0.032470625595427016,0.002881089575694107,0.04629809865876333,-0.013402829486224843,-0.00810267007450094,-0.049305630315426785,-0.02833291171262342,0.04898359049718337
2024-09-30,-0.0020775317155107276,0.10240817319387019,-0.036752605595172905,0.11134815787314345,0.08383389919038908,0.1935419501678124,0.056740994854202365,0.09851973684210535,0.09138262937379671,0.16297839104399903,0.05533504552883506
