Date,XLK,XLF,XLE,XLI,XLP,XLU,XLV,XLY,XLB,XLRE,XLC
2018-06-22,0.003231151370876595,0.004760815199283952,0.01991701244813271,0.003489968951516653,0.008182439058559865,0.006983772565085644,0.004493289885085572,0.0016766736293896134,0.01454573680982052,0.008759858433789125,0.004380140883173622
2018-06-25,0.02076981199164407,0.010821559224138966,0.020107852406255122,0.012704943637710575,0.005050263803547672,0.016495847344424996,0.009196505833085844,0.02167386001125915,0.015535223436633938,0.00237931562619087,0.02056946409185112
2018-06-26,0.004018452199936018,0.003306856732776642,0.012660568347234502,0.0037621456132657105,0.00421692993674605,0.0012035978205511277,0.0030854556465751415,0.00697228349477319,0.0038005588053544592,0.005194851562918323,0.0016500541620831921
2018-06-27,0.013642110465983626,0.012309920347574166,0.013411901402605952,0.00807548325312879,0.002117393869971229,0.004849395205313467,0.008448596696529642,0.012800365724734974,0.0030591492166123224,0.002795339916175421,0.008783695984775797
2018-06-28,0.012251090055213298,0.008731381612737454,0.001315250683831981,0.0013952066630955606,0.0,0.00039400726883709325,0.0013053028573493108,0.007775944738695362,0.0037977872443595295,0.009976741121199062,0.009996976379817335
2018-06-29,0.00045127102975817124,0.0,0.006225737092173889,0.0020793162434491474,0.000556560456379529,0.0015002066367419964,0.002031402363227963,0.0018093223178470286,0.0034286641607415014,0.002359338961890778,0.0011870094688603006
2018-07-02,0.008938898401567918,0.004919190591945455,0.014763912681350133,0.0022725490550901117,0.005899345677293666,0.00717016866354836,0.0031238430211033563,0.0012422597660730617,0.005367072801502837,0.005706786572515221,0.006281649284013646
2018-07-03,0.011837879418252761,0.009058814876559906,0.0062633899398640835,0.003191206053210771,0.0023960612691464878,0.0028419654085443113,0.0024015849948353374,0.004848346026837813,0.0016619178797029344,0.005739540907498508,0.012255754518320061
2018-07-05,0.014119681833877573,0.0023297335856866663,0.0010308244458291371,0.004861754699494902,0.013839924033224538,0.005351369605826717,0.010333779941497756,0.004776062146350846,0.008660525578189082,0.013183310288048533,0.015239858545771146
2018-07-06,0.011708360276998286,0.004837873639347956,0.0061353731913156295,0.0034818449872999757,0.003079009979868097,0.007742378009391482,0.014420296732150284,0.00788408674404395,0.004986847565062735,0.0041983539952077376,0.01579830676049565
2018-07-09,0.00760797523643908,0.022934765698564785,0.014912848898834152,0.018538837254904905,0.0038938319040924263,0.030827146536753558,0.007337174476811592,0.012065079455272132,0.008911606947690442,0.009250325922698366,0.005719251610264653
2018-07-10,0.002332255592945476,0.0037260866085007116,0.007439533643099017,0.0031611805267750537,0.01192110349940001,0.009521862523449887,0.0037941782149282233,0.0022457611258750454,0.008466243354498859,0.004872532320665535,0.000422895737902218
2018-07-11,0.0038834071672760873,0.0047684279453177325,0.02120351632178019,0.016403625586550064,0.00319219392524861,0.009019890932222108,0.007928528515932953,0.002427456399148542,0.016808697775794634,0.0030392497394928775,0.001358720524612611
2018-07-12,0.01579520377500221,0.0018769526362101274,0.0016949124840028862,0.011747165607182586,0.0013694123277018244,0.000798063868720833,0.011113045424588908,0.006907008086253441,0.0023774617374332507,0.0024353279331068567,0.015734126862890108
2018-07-13,0.0010645658463586116,0.00446401592219392,0.005298041340060067,0.0051642687951856114,0.006539834803387601,0.00017222545964146185,0.001828742619541579,0.0021192348446823495,0.0005328682846484911,0.0033191530772546107,0.0015580634294239948
2018-07-16,0.002372882336269755,0.01774187673766381,0.011572514871411976,0.00407884696781291,0.004756641870350631,0.0009694859601449002,0.006050718499804764,0.002411560650750433,0.008027112476511444,0.005450379922515958,0.0029583124966109375
2018-07-17,0.00745590449948752,0.0011014661030765982,0.0039688990697636095,0.003948494572106442,0.008550768586816693,0.0007555634260077992,0.005524370588562144,0.0009160390103077898,0.013085246727278843,0.006753013611214387,0.00018128859936439312
